method,split,event_id,camera,chain_translation_mm,chain_rotation_deg,corner_count,pixel_sse,reprojection_rmse_px,pixel_failure
andreff,train,14,3,1.6896104723875214,0.2780249953257496,6,15.675150432836032,1.616330743424544,
daniilidis,heldout,3,0,0.6653365403414956,0.09142710899847639,5,14.72466502644955,1.7160807105989828,
daniilidis,heldout,8,0,0.7525938691515512,0.16184863660483598,11,8.922288263099063,0.9006204055134369,
daniilidis,heldout,15,0,1.1660717611800508,0.23295633903400045,12,33.3318333457753,1.6666291665558384,
daniilidis,train,0,0,1.7746242802951928,0.17219904113481085,16,200.7899094433805,3.5425089047469283,
daniilidis,train,1,0,1.9752246972310015,0.2775610679069318,12,150.77146710377247,3.5446140728313953,
daniilidis,train,2,0,3.6473712567180723,0.40486118131418214,14,480.6925905139719,5.859623284539056,
daniilidis,train,4,0,1.8586052767263463,0.05003163885489851,16,124.16364994904643,2.78571860061554,
daniilidis,train,6,0,3.00335117218267,0.22146251312915385,9,269.0399242722371,5.467478844873335,
daniilidis,train,7,0,0.9069689684158715,0.11204068932252963,11,11.234810630071907,1.0106168516879321,
daniilidis,train,10,0,1.4263150855995679,0.14497935876775347,3,3.107873656016003,1.0178201635547743,
daniilidis,train,12,0,1.7367796643129554,0.2978179893007321,5,32.59860471860529,2.553374422939389,
daniilidis,train,13,0,1.1818104748707934,0.1996863608524224,1,2.3246420370866585,1.5246776830158755,
daniilidis,train,14,0,1.1251839921981417,0.12279437848200311,3,4.242223265604459,1.1891486121877926,
daniilidis,heldout,3,3,6.535510861039665,0.5390271089126388,8,17.69884563783985,1.487398972949081,
daniilidis,heldout,8,3,1.2734648102285084,0.3342789476308361,4,17.183795819209642,2.072667111429718,
daniilidis,heldout,15,3,3.9940500139273816,0.2224907439401259,8,196.77988792640687,4.959585263991421,
daniilidis,train,0,3,1.4402631033262119,0.16788083709438714,9,37.048459362542985,2.0289148539864845,
daniilidis,train,1,3,2.2667052583637615,0.24439664815303544,8,55.559823975805834,2.635332616004236,
daniilidis,train,2,3,4.144068070131253,0.12113467122811188,4,5.166331977429694,1.1364783299110561,
daniilidis,train,4,3,2.400781298491061,0.2730539329508749,7,19.435124338475717,1.6662671856782032,
daniilidis,train,6,3,5.494053949838797,0.2599913945420388,7,262.2457580722217,6.120758100480944,
daniilidis,train,7,3,1.5740391917682532,0.07331971183139924,1,6.928927706143819,2.6322856429619903,
daniilidis,train,10,3,1.340594927889806,0.2201339201156725,6,27.980533617871224,2.1594958369131447,
daniilidis,train,12,3,2.4251674715334297,0.17439474900124097,12,125.02932005700833,3.2278646199539867,
daniilidis,train,13,3,1.911837676251467,0.1318123934070514,10,76.54993290036572,2.7667658538511297,
daniilidis,train,14,3,1.9759815902010092,0.2538335010548379,6,43.523957633382814,2.6933237716429743,
