method,split,key,source_session,source_event_id,event_id,camera,chain_translation_mm,chain_rotation_deg,corner_count,pixel_sse,reprojection_rmse_px,pixel_failure
shah,train,cam0-3_01:25,cam0-3_01,25,55,0,1.740851807645827,0.2292810333173359,30,63.4889131722405,1.4547498430112822,
shah,train,cam0-3_01:27,cam0-3_01,27,57,0,1.1425077933058196,0.7333198005514512,17,53.55277848772952,1.774869978464529,
shah,train,cam0-3_01:28,cam0-3_01,28,58,0,1.0145833790647967,0.38967433217272496,24,65.85632847011108,1.6565064703328594,
shah,train,cam0-3_01:29,cam0-3_01,29,59,0,0.9373628880435442,0.2886844469296972,33,105.94785222601219,1.7917982521885167,
shah,train,cam0-3_01:31,cam0-3_01,31,61,0,1.8268396565918195,0.16453710566679208,37,100.05353061587329,1.644429833135085,
shah,train,cam0-3_01:32,cam0-3_01,32,62,0,2.011161639547049,0.3342133200322698,28,89.46297222834383,1.7874859862422081,
shah,train,cam0-3_01:33,cam0-3_01,33,63,0,0.6795719459384321,0.26407195059749805,23,41.66848006911729,1.3459840439185602,
shah,train,cam0-3_01:35,cam0-3_01,35,65,0,0.35733255474837333,0.26637174504791356,2,4.714122424956463,1.5352723577522756,
shah,train,cam0-3_01:36,cam0-3_01,36,66,0,4.389149125609597,0.3915627237069074,20,13.981681289025065,0.836112471173139,
shah,train,cam0-3_01:37,cam0-3_01,37,67,0,1.9463509267863157,0.322285115263256,27,26.032041734913907,0.9819112454217541,
shah,train,cam0-3_01:39,cam0-3_01,39,69,0,0.7951740090553183,0.2125867521175895,33,80.00688577595366,1.5570648939976162,
shah,train,cam0-1_02:0,cam0-1_02,0,0,1,3.5197401488580775,0.38209552304075134,40,251.71446879847787,2.5085576971562658,
shah,train,cam0-1_02:1,cam0-1_02,1,1,1,2.8293475047577314,0.3361288187027213,38,561.5339040278312,3.844113421939108,
shah,train,cam0-1_02:2,cam0-1_02,2,2,1,2.9911239737082362,0.37474560481808555,31,520.6922153012923,4.098356142923066,
shah,train,cam0-1_02:4,cam0-1_02,4,4,1,2.245556150007275,0.1219327769232232,31,468.0252322559747,3.8855614957544433,
shah,train,cam0-1_02:5,cam0-1_02,5,5,1,4.536214972053754,1.023863218035464,29,61.72548580222797,1.458925984299078,
shah,train,cam0-1_02:6,cam0-1_02,6,6,1,3.2157793315827843,1.3919927926900035,25,206.78135510423405,2.8759788254035112,
shah,train,cam0-1_02:8,cam0-1_02,8,8,1,3.539983670700441,1.0519763538964921,29,257.2202113143293,2.9781978542593177,
shah,train,cam0-1_02:9,cam0-1_02,9,9,1,4.351379451920839,1.0019621013789584,19,264.97918479487487,3.734470897455325,
shah,train,cam0-1_02:10,cam0-1_02,10,10,1,4.049196198513694,1.2573725645327039,10,42.12862099996084,2.052525785464359,
shah,train,cam0-1_02:12,cam0-1_02,12,12,1,3.584260837317611,0.7467531820367382,28,129.04392219335298,2.146790978857854,
shah,train,cam0-1_02:13,cam0-1_02,13,13,1,2.1510250329924494,0.5397414008995906,32,93.63777203475243,1.7106081889450937,
shah,train,cam0-1_02:14,cam0-1_02,14,14,1,1.5043881928423646,0.17403571873070445,31,302.37273215916974,3.1231328985345312,
shah,train,cam0-1_02:16,cam0-1_02,16,16,1,3.345688970521448,0.5404687091254825,22,92.17293460391308,2.0468705004548804,
shah,train,cam0-1_02:17,cam0-1_02,17,17,1,3.7395747672395125,1.2134136971321094,26,347.9485423396774,3.6582285663738596,
shah,train,cam0-1_02:18,cam0-1_02,18,18,1,4.080043295598403,1.576809157671701,24,305.1134032890765,3.5655376130926157,
shah,train,cam0-1_02:19,cam0-1_02,19,19,1,4.379360704801962,1.1785879384690796,30,511.22735085555433,4.1280639160731445,
shah,train,cam0-1_02:21,cam0-1_02,21,21,1,4.342021788517752,0.9562949635481053,25,376.3104814176788,3.8797447411791346,
shah,train,cam0-1_02:22,cam0-1_02,22,22,1,10.707540835539637,1.1095733680129187,18,315.123369756117,4.184119247265765,
shah,train,cam0-1_02:23,cam0-1_02,23,23,1,11.463150540999383,2.193410817774484,15,375.52645640113815,5.003508478398853,
