method,trial,noise_sigma_mm,status,calibration_pose_count,heldout_pose_count,heldout_translation_error_mm,heldout_rotation_error_deg,camera_pose_translation_error_mm,camera_pose_rotation_error_deg,pairwise_registration_translation_error_mm,pairwise_registration_rotation_error_deg,heldout_reprojection_rmse_px,cam0_camera_pose_translation_error_mm,cam0_camera_pose_rotation_error_deg,cam0_heldout_translation_error_mm,cam0_heldout_rotation_error_deg,cam0_heldout_reprojection_rmse_px,cam1_camera_pose_translation_error_mm,cam1_camera_pose_rotation_error_deg,cam1_heldout_translation_error_mm,cam1_heldout_rotation_error_deg,cam1_heldout_reprojection_rmse_px,cam3_camera_pose_translation_error_mm,cam3_camera_pose_rotation_error_deg,cam3_heldout_translation_error_mm,cam3_heldout_rotation_error_deg,cam3_heldout_reprojection_rmse_px,wrist_camera_pose_translation_error_mm,wrist_camera_pose_rotation_error_deg,wrist_heldout_translation_error_mm,wrist_heldout_rotation_error_deg,wrist_heldout_reprojection_rmse_px
tabb_c2_sim_joint,0,3.0,ok,10,4,1.0347317852067999,0.7520445282999046,3.181226860907098,0.3704301170712514,3.1245140787049124,0.39428533476330535,7.281063700347239,2.9354659885458663,0.2608297228130502,1.119998388164367,0.7634999477306963,5.433620247634437,0.9686303346922067,0.2336230009816528,0.9859247082163805,0.45164289272372127,6.417416314027419,6.379879742367551,0.447097624819611,1.5403719526196487,0.9134084933572484,5.507507150026735,2.4409313780227686,0.5401701196706915,0.4926320918268028,0.8796267793879524,10.53638734497803
tabb_rp1,0,3.0,ok,10,4,0.947114264739263,0.6399212938670251,1.719775567698336,0.1510718689688772,2.1143655190547843,0.2417518048496142,7.274475798943357,2.6038335501667227,0.20103059361341527,1.159295511455999,0.7044366084034467,5.428915776471418,1.1912206202028415,0.08722887743096065,0.8997051569507921,0.45807436510314314,6.44363416323623,1.9751153628706077,0.1298616551928836,0.940997053066605,0.7555671222918419,5.393233478894783,1.1089327375531717,0.18616634963824932,0.7884593374836559,0.6416070796696689,10.563686738167386
tabb_rp1_joint,0,3.0,ok,10,4,0.8945394399397683,0.6317999970301937,1.354028968400564,0.13139211174249105,1.5686269270733957,0.19376167765339844,7.269654021022784,1.8493775597750426,0.12649155463136344,1.1730749283561945,0.6773635376018039,5.413821751805248,1.0921206322375683,0.09905958069001652,0.7857587934760506,0.46188008360373445,6.446811377440757,1.3656849440364736,0.11385096201033491,0.8308647004431723,0.7463492872455675,5.378583265390444,1.1089327375531717,0.18616634963824932,0.7884593374836559,0.6416070796696689,10.563686738167386
shah,0,3.0,ok,10,4,2.238124444408477,0.7908677708218297,4.604739394680502,0.4320867695205629,4.918579875163625,0.5095834315921605,7.369265024169978,4.87767652158608,0.3619901737922533,1.6658586253996834,0.7849953102343747,5.448997670663231,1.8424149918716308,0.25016068756915755,1.098820655094534,0.4679582492270371,6.4092854597138365,7.159286600885972,0.5688665556886969,2.335862263419739,1.026112669619148,5.491888094819806,4.539579464378324,0.5473296610321438,3.851956233719953,0.8844048542067584,10.783919390500088
tabb_c1_sep,0,5.0,ok,10,4,2.7367218263983975,1.3176133084155377,6.96872953080409,0.7187971147409628,7.807281152625438,0.840915511970679,12.098245970411591,8.212134052038557,0.6092127453096086,2.7543054156925804,1.310155839795389,9.081459844719074,3.0592654342712193,0.4159713680892434,1.8559051773888358,0.7802054796125766,10.676724894267888,11.937630666371422,0.9468163235127353,3.9584673640866153,1.7138767986794317,9.14888177575053,4.665887970535159,0.9031880220522637,2.378209348425558,1.4662151155747538,17.491935805133544
tabb_c1_sim,0,5.0,ok,10,4,2.673783994565868,1.298235551310352,6.673791094864831,0.6909487200143197,7.550613225638526,0.8084469911928437,12.090942389994378,7.864238610457686,0.5845238001974679,2.6760406348332526,1.2965579382673802,9.07241388327402,2.872307819661515,0.4022161742755403,1.8318425829328073,0.7755751319196468,10.6775787478121,11.35959754547853,0.8947945490785251,3.813324561043098,1.668406656946935,9.123330494920777,4.59902040386159,0.882260356505746,2.3739281994543155,1.4524024781074467,17.489264089772252
tabb_c2_sep,0,5.0,ok,10,4,1.9597901403015259,1.3176134444704506,6.888892436680827,0.7187973715877912,6.811158203249852,0.8409166474214947,12.1291416705532,8.395623071893125,0.6092127793066092,2.531694571941653,1.3101558355518539,9.07653074281204,2.815048001802124,0.41597118083977236,1.6297480326913405,0.7802053828050589,10.675272126811345,12.26840847251838,0.9468172553408075,2.8561373726319292,1.713877281129485,9.333732764245147,4.07649020050968,0.9031882708639758,0.8215805839411818,1.4662152783954048,17.483177742600137
tabb_c2_sim,0,5.0,ok,10,4,1.9043725776409457,1.302370761549495,6.633913858088711,0.6946729460893009,6.595546515319316,0.8155875048485042,12.121731782369755,8.064496217841796,0.5844227961261954,2.457794841216485,1.2965315883042434,9.066576671611513,2.6993603213540545,0.3977216120001356,1.5964691971388563,0.7749074071375097,10.675564491859957,11.737768990330455,0.905173892211073,2.7462330274827877,1.6796779105100597,9.306808245364115,4.034029902828536,0.8913734840197995,0.8169932447256536,1.4583661402461672,17.481977461014015
tabb_c2_sim_joint,0,5.0,ok,10,4,1.7360064339905195,1.253806853439847,5.355850884026278,0.6189011006321994,5.208228768999523,0.6536669278980511,12.099548423551544,4.98679851298344,0.44069206158860397,1.8869186593157299,1.2733538652205914,9.0566853069579,1.663415280940212,0.39148270844135546,1.6498561069546491,0.7534541448635953,10.6897954288921,10.739159839352924,0.7520561484790383,2.5902577249660443,1.5300532634290338,9.183947724524542,4.034029902828536,0.8913734840197995,0.8169932447256536,1.4583661402461672,17.481977461014015
tabb_rp1,0,5.0,ok,10,4,1.5595255889739044,1.0685157386174413,2.880416242633029,0.2578382058004074,3.569718316260864,0.4131299473937142,12.085410425228027,4.353997638403617,0.33624614193599595,1.9261430698196884,1.1733033585800776,9.04520627559469,1.9824552887031064,0.14463709127029928,1.5184615584203365,0.7643046360740416,10.734690584448655,3.2920297478640332,0.2163406661132478,1.569698439340295,1.2617852782615673,8.992570916032667,1.893182295561359,0.3341289238820867,1.2237992883152982,1.0746696815540786,17.520942800188525
