method,split,event_id,camera,chain_translation_mm,chain_rotation_deg,camera_pose_translation_mm,camera_pose_rotation_deg,corner_count,pixel_sse,reprojection_rmse_px,pixel_failure
park,prior_comparison,9,1,87.37947629491309,23.377748834831216,334.1747833057216,23.377748834831213,14,356112.8696084138,159.48866274271074,
park,prior_comparison,9,2,1.1752090186153057,0.3475504221789125,2.7749916110959276,0.34755042217891674,60,91.3721976654891,1.2340461746188773,
park,prior_comparison,9,3,68.68791655849257,1.9920786019678174,66.89552126069528,1.9920786019678174,39,491823.55032784154,112.2980866480656,
park,prior_comparison,12,0,83.23891092879303,6.490266026393765,20.52400937930092,6.4902660263937655,46,671351.9032329894,120.80813959341278,
park,prior_comparison,12,1,86.74987394880156,23.325791768681775,333.7990829837677,23.32579176868177,20,528610.1371742142,162.57461935588444,
park,prior_comparison,12,2,1.4487150329156084,0.2646697651148473,1.9394424892650357,0.2646697651148474,60,67.68593472694016,1.0621200083397682,
park,prior_comparison,12,3,68.57773556595988,1.9696238100674706,66.490669127201,1.969623810067471,36,458414.4725174437,112.84385383221706,
horaud,prior_comparison,2,0,83.12689589965105,6.468880870900804,20.744861159536953,6.468880870900803,54,786719.2746593533,120.70159674442874,
horaud,prior_comparison,2,1,86.00828131102703,23.46559386296415,335.5744182252536,23.465593862964152,14,343503.0982569593,156.63950839358122,
horaud,prior_comparison,2,2,0.9018408882318718,0.09848469439404,0.7133999809441272,0.09848469439403883,60,220.0067783484355,1.9148837142606314,
horaud,prior_comparison,2,3,68.0882082482602,2.0380364266569635,66.55077738134672,2.0380364266569644,40,498449.6484948795,111.62992973379491,
horaud,prior_comparison,5,0,83.12323196125672,6.479110972432143,20.576418191349575,6.479110972432143,45,653385.2909615163,120.49760633505606,
horaud,prior_comparison,5,1,88.2217352303268,23.503959614604987,335.02722823279174,23.503959614604987,12,306110.6332772374,159.71605880364623,
horaud,prior_comparison,5,2,5.770168283985472,1.1136593779685706,9.611911916904297,1.1136593779685726,58,1793.1430374606668,5.560239137533855,
horaud,prior_comparison,5,3,67.99293448821763,2.057972316125716,65.94638564943448,2.057972316125715,37,466232.2724723904,112.25360675267198,
horaud,prior_comparison,9,0,83.11151740013067,6.476823539880345,20.518853466075033,6.476823539880346,46,670522.3617726616,120.7334795407404,
horaud,prior_comparison,9,1,87.35387258234059,23.34861817501618,333.85864217258336,23.348618175016185,14,355758.2866364069,159.40924122620615,
horaud,prior_comparison,9,2,1.1861810737145821,0.3468393244155402,2.774100603787067,0.34683932441554216,60,92.90001495987202,1.2443205305163674,
horaud,prior_comparison,9,3,68.1850070436334,2.0277155646317673,66.85476899290711,2.0277155646317686,39,483457.67950081336,111.33890046354469,
horaud,prior_comparison,12,0,83.21560878525479,6.495433188326687,20.470398556068147,6.495433188326687,46,670766.7280970225,120.75547769527283,
horaud,prior_comparison,12,1,86.72467390850379,23.29664144860864,333.4825699720588,23.296641448608636,20,528085.800867043,162.493969252253,
horaud,prior_comparison,12,2,1.4456126498085802,0.2646554626022335,1.9405300125255773,0.2646554626022334,60,66.92566018809723,1.056138092202729,
horaud,prior_comparison,12,3,68.07404940237733,2.01089994265714,66.4597020469937,2.0108999426571392,36,450676.10955159995,111.88735773481191,
andreff,prior_comparison,2,0,87.76641430093896,6.442073984930364,27.3368940193846,6.442073984930363,54,830962.0422340665,124.0491272331149,
andreff,prior_comparison,2,1,65.69923684139553,23.36252838069927,329.50019759745174,23.362528380699278,14,392252.60471284896,167.38591097752203,
andreff,prior_comparison,2,2,0.5223520246237465,0.1013584555549699,0.8296823712479449,0.1013584555549713,60,13.561861365639643,0.4754272002743014,
andreff,prior_comparison,2,3,245.44046903878217,2.427031029961623,242.8603062052692,2.4270310299616225,40,6786791.251834556,411.90991890929735,
andreff,prior_comparison,5,0,87.75591804975605,6.45231266734463,27.201514293198663,6.452312667344629,45,694581.1748452203,124.23822768690269,
andreff,prior_comparison,5,1,67.50961966233183,23.40085867688113,328.81433693917734,23.40085867688113,12,349373.7278028821,170.62964958326216,
andreff,prior_comparison,5,2,4.919818305059975,1.1113791013651368,9.858811440867157,1.1113791013651373,58,917.2155160931628,3.9766896562713954,
andreff,prior_comparison,5,3,245.46364363155146,2.4363087283311637,243.0909717470602,2.4363087283311633,37,6405299.439966639,416.072350775895,
andreff,prior_comparison,9,0,87.74483626312802,6.450022130770437,27.172886965995588,6.450022130770437,46,710926.7803391556,124.31785876282196,
andreff,prior_comparison,9,1,66.85868063237008,23.245546920731506,327.7359984783765,23.245546920731506,14,403384.77477127267,169.74450859438147,
