method,split,event_id,camera,chain_translation_mm,chain_rotation_deg,camera_pose_translation_mm,camera_pose_rotation_deg,corner_count,pixel_sse,reprojection_rmse_px,pixel_failure
tsai,train,13,3,0.3008760584748572,0.018013521526383316,0.34303349874300365,0.018013521526385162,39,10.264635448640037,0.5130261014162534,
tsai,train,14,0,0.06657322491762618,0.02209060614566769,0.18172373851027682,0.022090606145668528,47,9.372201518721722,0.4465518368023202,
tsai,train,14,1,0.8652284409394995,0.10041673543049262,1.0566767001387012,0.10041673543049433,14,5.711296731001344,0.6387094538991074,
tsai,train,14,2,5.285133340578371,0.21049453832708198,5.622011604457623,0.21049453832708145,60,5149.485633529052,9.264165400014054,
tsai,train,14,3,0.5677915917619799,0.05572459202211664,0.7609533201464359,0.055724592022115625,43,14.05072752529293,0.5716302172203377,
tsai,heldout,2,0,0.08525219184120084,0.012815930192089207,0.1418496028101077,0.012815930192089276,54,10.457931372701355,0.4400743071241104,
tsai,heldout,2,1,1.379449580228964,0.07462995403920224,1.5883463459549396,0.07462995403920301,14,6.452916437448659,0.6789128093318789,
tsai,heldout,2,2,3.1114528355036906,0.1387482136171371,3.137004743612629,0.13874821361713816,60,2612.999448984275,6.599241684951733,
tsai,heldout,2,3,0.23515103243917007,0.027605959106207598,0.33793840799785063,0.02760595910620743,40,9.329954898369884,0.4829584583162895,
tsai,heldout,5,0,0.05605140856933243,0.018403951528161804,0.1718395988684428,0.01840395152816217,45,9.421498806225795,0.4575659953912124,
tsai,heldout,5,1,1.3338300565882286,0.0968653339374566,1.279763558189175,0.0968653339374561,12,2.402621762070825,0.4474577970854556,
tsai,heldout,5,2,9.248884982915047,1.3380059308067704,6.237031866182978,1.338005930806771,58,13733.274517424476,15.387676729383426,
tsai,heldout,5,3,0.24168498902620555,0.05103629128883341,0.5447071010149639,0.05103629128883369,37,7.949529336882264,0.4635214603878241,
tsai,heldout,9,0,0.08168353777515333,0.028690172030327178,0.2610375023306965,0.028690172030325874,46,9.608880616451543,0.457043443288813,
tsai,heldout,9,1,0.2553687289032219,0.12463927046722004,1.382415010477445,0.12463927046722209,14,6.749934054119227,0.6943616829310225,
tsai,heldout,9,2,2.3962424069006003,0.9519537022102466,5.866528462262673,0.951953702210247,60,1493.0803911968578,4.988453987621245,
tsai,heldout,9,3,0.18070159286185045,0.10282326120434288,0.9786515323882339,0.10282326120434543,39,9.50421424110106,0.49365757469512545,
tsai,heldout,12,0,0.09202017089250362,0.03001711779303743,0.2484290910117622,0.03001711779303692,46,9.934323425317178,0.4647187888651442,
tsai,heldout,12,1,0.7649135682908111,0.1792075455443358,1.7937157735006286,0.1792075455443376,20,11.243899336019297,0.7497966169575352,
tsai,heldout,12,2,1.3970432157665964,0.45561482783173607,2.6371363097828295,0.4556148278317335,60,144.12144354743833,1.54984646308077,
tsai,heldout,12,3,0.1015799316960995,0.04044076734444226,0.11361661227409355,0.04044076734444282,36,8.752005646434778,0.4930631480414264,
park,train,0,0,0.09563991749966176,0.030398499243949564,0.24172102510953328,0.03039849924394828,44,9.620793759082048,0.46760496534521645,
park,train,0,1,0.47759152878402883,0.18137634195173008,1.9688677636848324,0.18137634195172986,16,8.846628435455473,0.743582058158995,
park,train,0,2,5.657220180499771,0.9206910934843636,8.088041043523605,0.9206910934843622,10,20.325039699745325,1.4256591352685017,
park,train,0,3,0.23082525171191695,0.07266528092336237,0.6891509498112464,0.07266528092336165,33,6.703046255313464,0.45069126217109834,
