method,split,event_id,camera,chain_translation_mm,chain_rotation_deg,corner_count,pixel_sse,reprojection_rmse_px,pixel_failure
horaud,train,149,1,1.1367851667684161,0.03568210960693482,18,27.683593482275878,1.2401521744052193,
horaud,train,259,1,0.4152847839965213,0.022212405004122766,13,3.885140852912046,0.5466781399375157,
horaud,train,381,1,2.8844277704897126,0.16540338379928468,16,230.26331482640938,3.7936074093994736,
horaud,train,390,1,0.734407219932504,0.14633079322538917,15,9.496427732263667,0.7956727858554112,
horaud,heldout,189,3,0.16285315930250724,0.11081989053374271,20,1.1018147592988834,0.23471416225899996,
horaud,heldout,392,3,0.4821106570625939,0.022579175696816244,15,1.1606890633138311,0.2781712977422163,
horaud,train,95,3,0.4465331776096287,0.07859990354921872,22,0.9121194803935958,0.20361723007036286,
horaud,train,131,3,0.27318344837048353,0.03272955508559933,13,0.8662494323942627,0.2581367306731756,
horaud,train,149,3,0.12315431590951859,0.03593019237906049,13,0.5279677398673289,0.20152643267501563,
horaud,train,259,3,0.5199364978611966,0.05048174985759468,19,1.2504506025437605,0.25654081470122125,
horaud,train,381,3,0.22646629767862006,0.055475013445825096,20,2.167520746329993,0.329205159917793,
horaud,train,390,3,0.3876382345443247,0.04208472100474992,14,0.2635485520961393,0.13720385044996247,
andreff,heldout,189,1,16.888325557449274,0.48871207426868546,16,7220.67792636614,21.243643058521855,
andreff,heldout,392,1,10.700117413666693,0.2349550891317139,14,2476.7169480950556,13.300689960876507,
andreff,train,95,1,10.086063580824764,0.34353848355729566,18,2816.9072219409745,12.509789992777156,
andreff,train,131,1,20.15616208077611,0.6794595019780919,17,10720.857243799395,25.11252001293308,
andreff,train,149,1,7.55419494007168,0.28116249996327936,18,1559.9641069910224,9.309386263906571,
andreff,train,259,1,9.500904921612191,0.055992480415024054,13,1832.1944567949195,11.871732608935845,
andreff,train,381,1,31.66585514891985,0.7974977847450232,16,25925.050506136613,40.25314468005622,
andreff,train,390,1,6.067802843258278,0.2079719575629298,15,898.8071596232995,7.740831822757808,
andreff,heldout,189,3,12.067247035469236,0.11485892750710533,20,6775.870438095889,18.406344610073845,
andreff,heldout,392,3,6.810192555792754,0.025014756624517943,15,1684.1491916184016,10.596065910259341,
andreff,train,95,3,8.089841596462357,0.08338624540316689,22,3380.667362860471,12.396237264260456,
andreff,train,131,3,7.298534994150881,0.04373066631250746,13,1622.9205539811564,11.173184085744543,
andreff,train,149,3,15.100808092777733,0.049541894372020195,13,6673.0454090863095,22.656371847988627,
andreff,train,259,3,18.794177377368175,0.07116256799572086,19,15448.804648397796,28.51482038334839,
andreff,train,381,3,15.007221052463263,0.03995516941197652,20,10444.460736728619,22.852199824884057,
andreff,train,390,3,5.047217571667674,0.045546320866521064,14,845.0037694082395,7.769003288748727,
daniilidis,heldout,189,1,1.7698599280664498,0.18299303527342453,16,43.76214681685661,1.6538241067457984,
daniilidis,heldout,392,1,1.6623026064750774,0.05916650896911029,14,11.443085649831419,0.9040814458345244,
daniilidis,train,95,1,1.5847185357733113,0.08964580934328992,18,25.868806757608606,1.1988143855402538,
daniilidis,train,131,1,1.4160984708409639,0.36944942237068845,17,76.59973869021073,2.1227027539853762,
daniilidis,train,149,1,0.7975064103260544,0.03095115564700373,18,3.405807763592374,0.43498453124427144,
daniilidis,train,259,1,0.7130992914041084,0.035137640363979414,13,9.322138265078818,0.8468102259964843,
daniilidis,train,381,1,2.6249029662470393,0.17745565884930709,16,175.91808603530336,3.315852888354135,
daniilidis,train,390,1,0.6821771970853477,0.1480330557767826,15,8.70751625054489,0.7619062169123306,
daniilidis,heldout,189,3,0.2419967735553892,0.11828406243892052,20,3.6700908940979398,0.4283743044405173,
daniilidis,heldout,392,3,0.5204672019552551,0.022962621080737027,15,2.515523936252532,0.4095138529404943,
daniilidis,train,95,3,0.5099049916367536,0.08009918071382573,22,1.6164682968342394,0.271064257463583,
daniilidis,train,131,3,0.2637925288798511,0.025899833980577453,13,0.7132037229490806,0.23422601230913054,
daniilidis,train,149,3,0.21601222855479435,0.047822822648693954,13,2.13973654898867,0.405703240254468,
daniilidis,train,259,3,0.517659314966493,0.057392004137259936,19,5.726424132394721,0.5489906591284122,
daniilidis,train,381,3,0.24700245703321191,0.04738276361861463,20,2.700652983469798,0.3674678886290473,
